Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuUltraBionicGunArm.labelNoun	an ultra bionic gun arm	ein ultrabionischer Waffenarm	ウルトラバイオニックガンアーム	ultrabioniczne ramię pistoletowe	un brazo de pistola ultrabiónico	un bras de pistolet ultra bionique	超仿生枪臂	un braccio armato ultra bionico	울트라 바이오닉 총 팔	um braço de arma ultra biônico	ультрабионическая рука-пистолет	ультрабіонічний пістолет	un braç de pistola ultra biònic	超仿生枪臂	ultra bionické zbraňové rameno	en ultra bionisk pistolarm	een ultrabionische geweerarm	ülibiooniline relvavars	ultrabionic aseen varsi	ένα υπερβιονικό βραχίονα όπλου	ultra bionikus fegyverkar	en ultra bionisk pistolarm	um braço de arma ultra biônico	un braț de armă ultra bionic	ultra bionické zbraňové rameno	un brazo de pistola ultrabiónico	en ultrabionic pistolarm	ultra biyonik silah kolu
HediffDef&KokuUltraBionicGunArm.description	An installed ultra bionic gun arm.	Ein installierter ultrabionischer Waffenarm.	取り付けられたウルトラバイオニックガンアーム。	Zainstalowane ultrabioniczne ramię pistoletu.	Un brazo de pistola ultra biónico instalado.	Un bras de pistolet ultra bionique installé.	安装的超仿生枪臂。	Un braccio di pistola ultra bionico installato.	설치된 울트라 바이오닉 총 팔.	Um braço de arma ultra biônico instalado.	Установленная ультрабионическая рука-пушка.	Встановлена ​​ультрабіонічна зброя.	Un braç de pistola ultra biònic instal·lat.	安装的超仿生枪臂。	Instalované rameno ultra bionické zbraně.	En installeret ultra bionisk pistolarm.	Een geïnstalleerde ultrabionische wapenarm.	Paigaldatud ultrabiooniline püstolivars.	Asennettu ultrabionic aseen varsi.	Εγκατεστημένος βραχίονας υπερβιονικού όπλου.	Telepített ultra bionikus fegyverkar.	En installert ultrabionisk pistolarm.	Um braço de arma ultra biônico instalado.	Un braț de armă ultra bionic instalat.	Inštalované rameno ultra bionického pištole.	Un brazo de pistola ultra biónico instalado.	En installerad ultrabionic pistolarm.	Takılı bir ultra biyonik tabanca kolu.
HediffDef&KokuUltraBionicGunArm.comps.tools.ultra bionic gun arm.label	ultra bionic gun arm	Ultrabionischer Waffenarm	ウルトラバイオニックガンアーム	ultrabioniczne ramię pistoletu	brazo de pistola ultra biónica	bras de pistolet ultra bionique	超仿生枪臂	braccio della pistola ultra bionico	울트라 바이오닉 총 팔	braço de arma ultra biônico	ультра бионическая рука-пистолет	ультрабіонічна зброя	braç de pistola ultra biònic	超仿生枪臂	rameno ultra bionické zbraně	ultra bionisk pistolarm	ultra bionische pistoolarm	ultra biooniline relva käsi	ultra bioninen aseen varsi	βραχίονας υπερβιονικού όπλου	ultra bionikus fegyverkar	ultra bionisk pistolarm	braço de arma ultra biônico	brațul pistolului ultra bionic	ultra bionické rameno zbrane	brazo de pistola ultra biónica	ultra bionisk pistolarm	ultra biyonik silah kolu
HediffDef&KokuUltraBionicEMPArm.label	Ultra bionic EMP arm	Ultrabionischer EMP-Arm	超生体EMPアーム	Ultra bioniczne ramię EMP	Brazo EMP ultrabiónico	Bras EMP ultra bionique	超仿生电磁脉冲臂	Braccio EMP ultra bionico	울트라 바이오닉 EMP 팔	Braço EMP ultra biônico	Ультрабионическая ЭМИ-рука	Ультрабіонічна рука EMP	Braç EMP ultra biònic	超仿生电磁脉冲臂	Ultra bionické EMP rameno	Ultra bionisk EMP arm	Ultra bionische EMP-arm	Ultra biooniline EMP vars	Ultrabionic EMP-varsi	Ultra bionic EMP βραχίονας	Ultra bionikus EMP kar	Ultra bionisk EMP-arm	Braço EMP ultra biônico	Braț EMP ultra bionic	Ultra bionické EMP rameno	Brazo EMP ultrabiónico	Ultra bionisk EMP-arm	Ultra biyonik EMP kolu
HediffDef&KokuUltraBionicEMPArm.labelNoun	an installed ultra bionic EMP arm	ein installierter ultrabionischer EMP-Arm	設置されたウルトラバイオニックEMPアーム	zainstalowane ultrabioniczne ramię EMP	un brazo EMP ultra biónico instalado	un bras EMP ultra bionique installé	已安装的超仿生电磁脉冲臂	un braccio EMP ultra bionico installato	설치된 울트라 바이오닉 EMP 팔	um braço EMP ultra biônico instalado	установленная ультрабионическая рука с ЭМИ	встановлена ​​ультрабіонічна рука EMP	un braç EMP ultra biònic instal·lat	已安装的超仿生电磁脉冲臂	instalované ultra bionické EMP rameno	en installeret ultra bionisk EMP-arm	een geïnstalleerde ultrabionische EMP-arm	paigaldatud ultrabiooniline EMP vars	asennettu ultrabionic EMP-varsi	έναν εγκατεστημένο βραχίονα υπερβιονικού EMP	telepített ultra bionikus EMP kar	en installert ultrabionisk EMP-arm	um braço EMP ultra biônico instalado	un braț EMP ultra bionic instalat	inštalované ultra bionické EMP rameno	un brazo EMP ultra biónico instalado	en installerad ultrabionic EMP-arm	kurulu bir ultra biyonik EMP kolu
HediffDef&KokuUltraBionicEMPArm.description	An installed ultra bionic EMP arm.	Ein installierter ultrabionischer EMP-Arm.	設置されたウルトラバイオニックEMPアーム。	Zainstalowane ultrabioniczne ramię EMP.	Un brazo EMP ultrabiónico instalado.	Un bras EMP ultra bionique installé.	已安装的超仿生电磁脉冲臂。	Un braccio EMP ultra bionico installato.	설치된 울트라 바이오닉 EMP 팔.	Um braço EMP ultra biônico instalado.	Установленная ультрабионическая рука с ЭМИ.	Встановлена ​​ультрабіонічна рука EMP.	Un braç EMP ultra biònic instal·lat.	已安装的超仿生电磁脉冲臂。	Instalované ultra bionické EMP rameno.	En installeret ultra bionisk EMP-arm.	Een geïnstalleerde ultrabionische EMP-arm.	Paigaldatud ultrabiooniline EMP-vars.	Asennettu ultrabionic EMP-varsi.	Ένας εγκατεστημένος υπερβιονικός βραχίονας EMP.	Telepített ultra bionikus EMP kar.	En installert ultrabionisk EMP-arm.	Um braço EMP ultra biônico instalado.	Un braț EMP ultra bionic instalat.	Inštalované ultra bionické EMP rameno.	Un brazo EMP ultrabiónico instalado.	En installerad ultrabionic EMP-arm.	Kurulu bir ultra biyonik EMP kolu.
HediffDef&KokuUltraBionicEMPArm.comps.tools.ultra bionic EMP arm.label	ultra bionic EMP arm	Ultrabionischer EMP-Arm	ウルトラバイオニックEMPアーム	ultrabioniczne ramię EMP	brazo EMP ultrabiónico	bras EMP ultra bionique	超仿生电磁脉冲臂	braccio EMP ultra bionico	울트라 바이오닉 EMP 팔	braço EMP ultra biônico	ультрабионическая рука с ЭМИ	ультрабіонічна рука EMP	braç EMP ultra biònic	超仿生电磁脉冲臂	ultra bionické EMP rameno	ultra bionisk EMP arm	ultra bionische EMP-arm	ultra biooniline EMP käsi	ultrabionic EMP-varsi	υπερβιονικός βραχίονας EMP	ultra bionikus EMP kar	ultra bionisk EMP-arm	braço EMP ultra biônico	braț EMP ultra bionic	ultra bionické EMP rameno	brazo EMP ultrabiónico	ultra bionisk EMP-arm	ultra biyonik EMP kolu
HediffDef&KokuUltraBionicIncendiaryArm.label	Ultra bionic incendiary arm	Ultrabionischer Brandarm	超バイオニック焼夷アーム	Ultra bioniczne ramię zapalające	Brazo incendiario ultrabiónico	Bras incendiaire ultra bionique	超仿生燃烧臂	Braccio incendiario ultra bionico	울트라 바이오닉 방화 팔	Braço incendiário ultra biônico	Ультрабионическая зажигательная рука	Ультрабіонічна запальна рука	Braç incendiari ultra biònic	超仿生燃烧臂	Ultra bionické zápalné rameno	Ultra bionisk brandarm	Ultra bionische brandgevaarlijke arm	Ultra biooniline süütevars	Ultrabionic sytytysvarsi	Υπερβιονικός εμπρηστικός βραχίονας	Ultra bionikus gyújtókar	Ultra bionisk brannarm	Braço incendiário ultra biônico	Braț incendiar ultra bionic	Ultra bionické zápalné rameno	Brazo incendiario ultrabiónico	Ultra bionisk brandarm	Ultra biyonik yangın çıkarıcı kol
HediffDef&KokuUltraBionicIncendiaryArm.labelNoun	an installed ultra bionic incendiary arm	ein installierter ultrabionischer Brandarm	設置された超バイオニック焼夷アーム	zainstalowane ultrabioniczne ramię zapalające	un brazo incendiario ultrabiónico instalado	un bras incendiaire ultra bionique installé	安装的超仿生燃烧臂	un braccio incendiario ultra bionico installato	설치된 울트라 바이오닉 소이 팔	um braço incendiário ultra biônico instalado	установленная ультрабионическая зажигательная рука	встановлена ​​ультрабіонічна запальна зброя	un braç incendiari ultra biònic instal·lat	安装的超仿生燃烧臂	instalované ultra bionické zápalné rameno	en installeret ultrabionisk brandarm	een geïnstalleerde ultrabionische brandgevaarlijke arm	paigaldatud ultrabiooniline süütevars	asennettu ultrabionic sytytysvarsi	έναν εγκατεστημένο υπερβιονικό εμπρηστικό βραχίονα	telepített ultra bionikus gyújtókar	en installert ultrabionisk brannarm	um braço incendiário ultra biônico instalado	un braț incendiar ultra bionic instalat	inštalované ultra bionické zápalné rameno	un brazo incendiario ultrabiónico instalado	en installerad ultrabionisk brandarm	kurulu bir ultra biyonik yangın çıkarıcı kol
HediffDef&KokuUltraBionicIncendiaryArm.description	An installed ultra bionic incendiary arm.	Ein installierter ultrabionischer Brandarm.	設置された超バイオニック焼夷アーム。	Zainstalowane ultrabioniczne ramię zapalające.	Un brazo incendiario ultrabiónico instalado.	Un bras incendiaire ultra bionique installé.	已安装的超仿生燃烧臂。	Un braccio incendiario ultra bionico installato.	설치된 울트라 바이오닉 소이 팔.	Um braço incendiário ultra biônico instalado.	Установленная ультрабионическая зажигательная рука.	Встановлена ​​ультрабіонічна запальна зброя.	Un braç incendiari ultra biònic instal·lat.	已安装的超仿生燃烧臂。	Instalované ultra bionické zápalné rameno.	En installeret ultra bionisk brandarm.	Een geïnstalleerde ultrabionische brandgevaarlijke arm.	Paigaldatud ultrabiooniline süüteõlg.	Asennettu ultrabionic-sytytysvarsi.	Ένα εγκατεστημένο υπερβιονικό εμπρηστικό βραχίονα.	Beépített ultra bionikus gyújtókar.	En installert ultrabionisk brannarm.	Um braço incendiário ultra biônico instalado.	Un braț incendiar ultra bionic instalat.	Inštalované ultra bionické zápalné rameno.	Un brazo incendiario ultrabiónico instalado.	En installerad ultrabionisk brandarm.	Kurulu bir ultra biyonik yangın çıkarıcı kol.
HediffDef&KokuUltraBionicIncendiaryArm.comps.tools.ultra bionic incendiary arm.label	ultra bionic incendiary arm	Ultrabionischer Brandarm	ウルトラバイオニック焼夷アーム	ultrabioniczne ramię zapalające	brazo incendiario ultrabiónico	bras incendiaire ultra bionique	超仿生燃烧臂	braccio incendiario ultra bionico	울트라 바이오닉 방화 팔	braço incendiário ultra biônico	Ультрабионическая зажигательная рука	ультрабіонічна запальна рука	braç incendiari ultra biònic	超仿生燃烧臂	ultra bionické zápalné rameno	ultra bionisk brandarm	ultra bionische brandgevaarlijke arm	ultra biooniline süütevars	ultra bioninen sytytysvarsi	υπερβιονικός εμπρηστικός βραχίονας	ultra bionikus gyújtókar	ultra bionisk brannfarlig arm	braço incendiário ultra biônico	braț incendiar ultra bionic	ultra bionické zápalné rameno	brazo incendiario ultrabiónico	ultra bionisk brandarm	ultra biyonik yangın çıkarıcı kol
HediffDef&KokuUltraBionicSmokeArm.label	Ultra bionic smoke arm	Ultrabionischer Raucharm	ウルトラバイオニックスモークアーム	Ultra bioniczne ramię dymne	Brazo de humo ultrabiónico	Bras fumigène ultra bionique	超仿生烟臂	Braccio fumogeno ultra bionico	울트라 바이오닉 스모크 암	Braço de fumaça ultra biônico	Ультрабионическая дымовая рука	Ультрабіонічна димова рука	Braç de fum ultra biònic	超仿生烟臂	Ultra bionické kouřové rameno	Ultra bionisk røgarm	Ultra bionische rookarm	Ultra biooniline suitsuvars	Ultrabionic savuvarsi	Υπερβιονικός βραχίονας καπνού	Ultra bionikus füstkar	Ultra bionisk røykarm	Braço de fumaça ultra biônico	Braț de fum ultra bionic	Ultra bionické dymové rameno	Brazo de humo ultrabiónico	Ultra bionisk rökarm	Ultra biyonik duman kolu
HediffDef&KokuUltraBionicSmokeArm.labelNoun	an installed ultra bionic smoke arm	ein installierter ultrabionischer Raucharm	設置されたウルトラバイオニックスモークアーム	zainstalowane ultrabioniczne ramię dymne	un brazo de humo ultra biónico instalado	un bras fumigène ultra bionique installé	安装的超仿生烟臂	un braccio fumogeno ultra bionico installato	설치된 울트라 바이오닉 연기 팔	um braço de fumaça ultra biônico instalado	установленная ультрабионическая дымовая рука	встановлена ​​ультрабіонічна димова рука	un braç de fum ultra biònic instal·lat	安装的超仿生烟臂	instalované ultra bionické kouřové rameno	en installeret ultra bionisk røgarm	een geïnstalleerde ultra bionische rookarm	paigaldatud ultrabiooniline suitsuvars	asennettu ultrabionic savuvarsi	έναν εγκατεστημένο υπερβιονικό βραχίονα καπνού	telepített ultra bionikus füstkar	en installert ultrabionisk røykarm	um braço de fumaça ultra biônico instalado	un braț de fum ultra bionic instalat	inštalované ultra bionické dymové rameno	un brazo de humo ultra biónico instalado	en installerad ultrabionisk rökarm	kurulu bir ultra biyonik duman kolu
HediffDef&KokuUltraBionicSmokeArm.description	An installed ultra bionic smoke arm.	Ein installierter ultrabionischer Raucharm.	取り付けられたウルトラバイオニックスモークアーム。	Zainstalowane ultrabioniczne ramię dymne.	Un brazo de humo ultrabiónico instalado.	Un bras fumigène ultra bionique installé.	安装的超仿生烟臂。	Un braccio fumogeno ultra bionico installato.	설치된 울트라 바이오닉 연기 팔.	Um braço de fumaça ultra biônico instalado.	Установлен ультрабионический дымовой манипулятор.	Встановлена ​​ультрабіонічна димова рука.	Un braç de fum ultra biònic instal·lat.	安装的超仿生烟臂。	Instalované ultra bionické kouřové rameno.	En installeret ultra bionisk røgarm.	Een geïnstalleerde ultra bionische rookarm.	Paigaldatud ultrabiooniline suitsuvars.	Asennettu ultrabionic savuvarsi.	Εγκατεστημένος υπερβιονικός βραχίονας καπνού.	Telepített ultra bionikus füstkar.	En installert ultrabionisk røykarm.	Um braço de fumaça ultra biônico instalado.	Un braț de fum ultrabionic instalat.	Inštalované ultra bionické dymové rameno.	Un brazo de humo ultrabiónico instalado.	En installerad ultrabionisk rökarm.	Takılı bir ultra biyonik duman kolu.
HediffDef&KokuUltraBionicSmokeArm.comps.tools.ultra bionic smoke arm.label	ultra bionic smoke arm	Ultrabionischer Raucharm	ウルトラバイオニックスモークアーム	ultra bioniczne ramię dymne	brazo de humo ultrabiónico	bras fumigène ultra bionique	超仿生烟臂	braccio fumogeno ultra bionico	울트라 바이오닉 스모크 암	braço de fumaça ultra biônico	Ультра бионическая дымовая рука	ультрабіонічна димова рука	braç de fum ultra biònic	超仿生烟臂	ultra bionické kouřové rameno	ultra bionisk røgarm	ultra bionische rookarm	ultra biooniline suitsuvars	ultra bioninen savuvarsi	υπερβιονικός βραχίονας καπνού	ultra bionikus füstkar	ultra bionisk røykarm	braço de fumaça ultra biônico	braț de fum ultra bionic	ultra bionické dymové rameno	brazo de humo ultrabiónico	ultra bionisk rökarm	ultra biyonik duman kolu
HediffDef&KokuUltraBionicFireBreathJaw.label	Ultra bionic fire breath jaw	Ultrabionischer Feueratem-Kiefer	ウルトラバイオニックファイアブレスジョー	Ultra bioniczna szczęka z ognistym oddechem	Mandíbula de aliento de fuego ultrabiónica	Mâchoire de souffle de feu ultra bionique	超仿生火息颌	Mascella del soffio di fuoco ultra bionico	울트라 바이오닉 파이어 브레스 턱	Mandíbula de sopro de fogo ultra biônico	Ультрабионическая челюсть с огненным дыханием	Ультрабіонічна щелепа вогняного дихання	Mandíbula ultra biònica d'alè de foc	超仿生火息颌	Ultra bionická dechová čelist ohně	Ultra bionisk ildåndekæbe	Ultra bionische vuurademkaak	Ultra biooniline tulehingamislõug	Ultrabionic tulihengitysleuka	Υπερβιονικό σαγόνι αναπνοής φωτιάς	Ultra bionikus tűzlégzéspofa	Ultra bionisk brannpustekjeve	Mandíbula de sopro de fogo ultra biônico	Maxilară ultrabionic suflare de foc	Ultra bionická ohnivá dychová čeľusť	Mandíbula de aliento de fuego ultrabiónica	Ultra bionisk eldandningskäke	Ultra biyonik ateş nefesli çene
HediffDef&KokuUltraBionicFireBreathJaw.labelNoun	an installed ultra bionic fire breath jaw	ein installierter ultrabionischer Feueratem-Kiefer	取り付けられたウルトラバイオニックファイアブレスジョー	zainstalowana ultrabioniczna szczęka z ognistym oddechem	una mandíbula de aliento de fuego ultra biónica instalada	une mâchoire de souffle de feu ultra bionique installée	安装的超仿生火息颚	una mascella di alito di fuoco ultra bionica installata	설치된 울트라 바이오닉 파이어 브레스 턱	uma mandíbula de sopro de fogo ultra biônica instalada	установленная ультрабионическая челюсть с огненным дыханием	встановлена ​​щелепа ультрабіонічного дихання вогню	una mandíbula ultra biònica instal·lada	安装的超仿生火息颚	instalovaná ultra bionická čelist na dýchání ohně	en installeret ultra bionisk ildåndekæbe	een geïnstalleerde ultrabionische vuurademkaak	paigaldatud ultrabiooniline tulehingamislõug	asennettu ultrabionic palohengitysleuka	μια εγκατεστημένη υπερβιονική σιαγόνα αναπνοής φωτιάς	telepített ultra bionikus tűzlégzéspofa	en installert ultrabionic brannpustekjeve	uma mandíbula de sopro de fogo ultra biônica instalada	o falcă ultrabionic instalată pentru respirație de foc	nainštalovaná ultra bionická čeľusť na dýchanie ohňa	una mandíbula de aliento de fuego ultra biónica instalada	en installerad ultrabionisk eldandningskäke	kurulu bir ultra biyonik yangın nefesi çenesi
HediffDef&KokuUltraBionicFireBreathJaw.description	An installed ultra bionic fire breath jaw.	Ein installierter ultrabionischer Feueratem-Kiefer.	取り付けられたウルトラバイオニックファイアブレスジョー。	Zainstalowana ultrabioniczna szczęka z ognistym oddechem.	Una mandíbula de aliento de fuego ultrabiónica instalada.	Une mâchoire de souffle de feu ultra bionique installée.	已安装的超仿生火息颚。	Una mascella di fuoco ultrabionica installata.	설치된 울트라 바이오닉 파이어 브레스 턱.	Uma mandíbula de sopro de fogo ultra biônica instalada.	Установленная ультрабионическая челюсть с огненным дыханием.	Встановлена ​​ультрабіонічна щелепа дихання вогню.	Una mandíbula ultra biònica instal·lada.	已安装的超仿生火息颚。	Instalovaná ultra bionická čelist na dýchání ohně.	En installeret ultra bionisk ildåndekæbe.	Een geïnstalleerde ultrabionische vuurademkaak.	Paigaldatud ultrabiooniline tulehingamislõug.	Asennettu ultrabionic tulihengitysleuka.	Εγκατεστημένη υπερβιονική σιαγόνα αναπνοής φωτιάς.	Telepített ultra bionikus tűzlégzéspofa.	En installert ultra bionisk brannpustekjeve.	Uma mandíbula de sopro de fogo ultra biônica instalada.	Un maxilar ultrabionic instalat pentru respirație de foc.	Inštalovaná ultra bionická čeľusť na dýchanie ohňom.	Una mandíbula de aliento de fuego ultrabiónica instalada.	En installerad ultrabionisk eldandningskäke.	Takılı bir ultra biyonik yangın nefesi çenesi.
RecipeDef&KokuInstallBionicClaw.label	install bionic claw	Installieren Sie eine bionische Klaue	バイオニッククローを取り付ける	zainstaluj bioniczny pazur	instalar garra biónica	installer une griffe bionique	安装仿生爪	installare l'artiglio bionico	생체공학 발톱을 설치하다	instalar garra biônica	установить бионический коготь	встановити біонічну клешню	instal·lar arpa biònica	安装仿生爪	nainstalovat bionický dráp	installer bionisk klo	bionische klauw installeren	paigalda biooniline küünis	asenna bionic claw	εγκαταστήστε βιονικό νύχι	telepítse a bionikus karmot	installer bionisk klo	instalar garra biônica	instalați gheara bionică	nainštalujte bionický pazúr	instalar garra biónica	installera bionisk klo	biyonik pençeyi yükle
RecipeDef&KokuInstallBionicClaw.description	Installs bionic claw.	Installiert eine bionische Klaue.	バイオニッククローを装着します。	Instaluje bioniczny pazur.	Instala garra biónica.	Installe la griffe bionique.	安装仿生爪。	Installa artiglio bionico.	생체공학 발톱을 설치합니다.	Instala garra biônica.	Устанавливает бионический коготь.	Встановлює біонічну клешню.	Instal·la una arpa biònica.	安装仿生爪。	Instaluje bionický dráp.	Installerer bionisk klo.	Installeert bionische klauw.	Paigaldab bioonilise küünise.	Asentaa bionisen kynnen.	Εγκαθιστά βιονικό νύχι.	Telepíti a bionikus karmot.	Installerer bionisk klo.	Instala garra biônica.	Instalează gheara bionică.	Inštaluje bionický pazúr.	Instala garra biónica.	Installerar bionisk klo.	Biyonik pençeyi yükler.
RecipeDef&KokuInstallBionicClaw.jobString	Installing bionic claw.	Bionische Klaue installieren.	バイオニッククローの取り付け。	Instalowanie bionicznego pazura.	Instalación de garra biónica.	Installation d'une griffe bionique.	安装仿生爪。	Installazione dell'artiglio bionico.	생체공학 발톱을 설치합니다.	Instalando garra biônica.	Установка бионического когтя.	Установка біонічного когтеточка.	Instal·lació d'urpa biònica.	安装仿生爪。	Instalace bionického drápu.	Installation af bionisk klo.	Bionische klauw installeren.	Bioonilise küünise paigaldamine.	Bionic claw asennus.	Εγκατάσταση βιονικού νυχιού.	Bionikus karom felszerelése.	Installere bionisk klo.	Instalando garra biônica.	Instalarea ghearei bionice.	Inštalácia bionického pazúra.	Instalación de garra biónica.	Installation av bionisk klo.	Biyonik pençenin takılması.
RecipeDef&KokuInstallBionicGunArm.label	install bionic gun arm	Installieren Sie den bionischen Waffenarm	バイオニックガンアームを取り付ける	zainstaluj ramię pistoletu bionicznego	instalar brazo de pistola biónica	installer un bras de pistolet bionique	安装仿生枪臂	installare il braccio della pistola bionica	생체공학 총 팔 설치	instalar braço de arma biônica	установить руку с бионическим пистолетом	встановити рукоятку біонічного пістолета	instal·lar el braç de la pistola biònica	安装仿生枪臂	nainstalujte rameno bionické zbraně	installer bionisk pistolarm	bionische pistoolarm installeren	paigaldage biooniline püstoli õlg	asenna bionisen aseen varsi	εγκαταστήστε βραχίονα βιονικού όπλου	telepítse a bionikus pisztolykart	installer bionisk pistolarm	instalar braço de arma biônica	instalați brațul pistolului bionic	nainštalujte rameno bionickej pištole	instalar brazo de pistola biónica	installera bionisk pistolarm	biyonik silah kolunu takın
RecipeDef&KokuInstallBionicGunArm.description	Installs bionic gun arm.	Installiert einen bionischen Waffenarm.	バイオニックガンアームを取り付けます。	Instaluje ramię pistoletu bionicznego.	Instala el brazo de pistola biónica.	Installe le bras du pistolet bionique.	安装仿生枪臂。	Installa il braccio della pistola bionica.	생체 공학 총 팔을 설치합니다.	Instala o braço da arma biônica.	Устанавливает бионическую руку-пушку.	Встановлює біонічну зброю.	Instal·la el braç de la pistola biònica.	安装仿生枪臂。	Instaluje rameno bionické zbraně.	Installerer bionisk pistolarm.	Installeert bionische pistoolarm.	Paigaldab bioonilise relva käe.	Asenna bionisen aseen varren.	Εγκαθιστά βιονικό βραχίονα όπλου.	Telepíti a bionikus pisztolykart.	Installerer bionisk pistolarm.	Instala o braço da arma biônica.	Instalează brațul pistolului bionic.	Inštaluje rameno bionickej pištole.	Instala el brazo de pistola biónica.	Installerar bionisk pistolarm.	Biyonik tabanca kolunu takar.
RecipeDef&KokuInstallBionicGunArm.jobString	Installing bionic gun arm.	Installation des bionischen Waffenarms.	バイオニックガンアームの取り付け。	Instalowanie ramienia pistoletu bionicznego.	Instalación del brazo de pistola biónica.	Installation du bras du pistolet bionique.	安装仿生枪臂。	Installazione del braccio della pistola bionica.	생체공학 총 팔을 설치합니다.	Instalando braço de arma biônica.	Установка бионической руки-пистолета.	Встановлення рукоятки біонічного пістолета.	Instal·lació del braç de la pistola biònica.	安装仿生枪臂。	Instalace ramene bionické zbraně.	Installation af bionisk pistolarm.	Bionische pistoolarm installeren.	Bioonilise relva käe paigaldamine.	Bionic pistoolin varren asennus.	Εγκατάσταση βραχίονα βιονικού όπλου.	Bionikus pisztolykar felszerelése.	Montering av bionisk pistolarm.	Instalando braço de arma biônica.	Instalarea brațului pistolului bionic.	Inštalácia ramena bionickej pištole.	Instalación del brazo de pistola biónica.	Installation av bionisk pistolarm.	Biyonik silah kolunun takılması.
RecipeDef&KokuInstallBionicEMPArm.label	install bionic EMP arm	Installieren Sie den bionischen EMP-Arm	バイオニックEMPアームを取り付ける	zainstaluj bioniczne ramię EMP	instalar brazo EMP biónico	installer le bras bionique EMP	安装仿生电磁脉冲臂	installare il braccio EMP bionico	생체공학 EMP 팔 설치	instalar braço EMP biônico	установить бионическую ЭМИ-манипулятор	встановити біонічну руку EMP	instal·leu el braç EMP biònic	安装仿生电磁脉冲臂	nainstalujte bionické EMP rameno	installer bionisk EMP-arm	installeer bionische EMP-arm	paigaldage biooniline EMP vars	asenna bioninen EMP-varsi	εγκαταστήστε βιονικό βραχίονα EMP	telepítse a bionikus EMP kart	installer bionisk EMP-arm	instalar braço EMP biônico	instalați brațul EMP bionic	nainštalujte bionické EMP rameno	instalar brazo EMP biónico	installera bionisk EMP-arm	biyonik EMP kolunu takın
RecipeDef&KokuInstallBionicEMPArm.description	Installs bionic EMP arm.	Installiert den bionischen EMP-Arm.	バイオニックEMPアームを取り付けます。	Instaluje bioniczne ramię EMP.	Instala el brazo EMP biónico.	Installe le bras bionique EMP.	安装仿生电磁脉冲臂。	Installa il braccio EMP bionico.	생체공학 EMP 팔을 설치합니다.	Instala o braço EMP biônico.	Устанавливает бионическую ЭМИ-манипулятор.	Встановлює біонічну руку EMP.	Instal·la el braç EMP biònic.	安装仿生电磁脉冲臂。	Instaluje bionické EMP rameno.	Installerer bionisk EMP-arm.	Installeert bionische EMP-arm.	Paigaldab bioonilise EMP käe.	Asentaa bionisen EMP-varren.	Εγκαθιστά βιονικό βραχίονα EMP.	Telepíti a bionikus EMP kart.	Installerer bionisk EMP-arm.	Instala o braço EMP biônico.	Instalează brațul EMP bionic.	Inštaluje bionické EMP rameno.	Instala el brazo EMP biónico.	Installerar bionisk EMP-arm.	Biyonik EMP kolunu kurar.
RecipeDef&KokuInstallBionicEMPArm.jobString	Installing bionic EMP arm.	Installation des bionischen EMP-Arms.	バイオニックEMPアームの取り付け。	Instalowanie bionicznego ramienia EMP.	Instalación del brazo EMP biónico.	Installation du bras bionique EMP.	安装仿生电磁脉冲臂。	Installazione del braccio EMP bionico.	생체공학 EMP 팔 설치.	Instalando braço EMP biônico.	Установка бионической ЭМИ-манипулятора.	Встановлення bionic EMP arm.	Instal·lació del braç EMP biònic.	安装仿生电磁脉冲臂。	Instalace bionického EMP ramena.	Installation af bionisk EMP-arm.	Bionische EMP-arm installeren.	Bioonilise EMP käe paigaldamine.	Bionic EMP -varren asennus.	Εγκατάσταση βιονικού βραχίονα EMP.	A bionikus EMP kar felszerelése.	Installerer bionisk EMP-arm.	Instalando braço EMP biônico.	Instalarea brațului EMP bionic.	Inštalácia bionického EMP ramena.	Instalación del brazo EMP biónico.	Installation av bionisk EMP-arm.	Biyonik EMP kolunun takılması.
RecipeDef&KokuInstallBionicIncendiaryArm.label	install bionic incendiary arm	Installieren Sie einen bionischen Brandarm	バイオニック焼夷アームを設置する	zainstaluj bioniczne ramię zapalające	instalar brazo incendiario biónico	installer un bras incendiaire bionique	安装仿生燃烧臂	installare un braccio incendiario bionico	생체 공학 방화 팔 설치	instalar braço incendiário biônico	установить бионическую зажигательную руку	встановити біонічну запалювальну зброю	instal·lar un braç incendiari biònic	安装仿生燃烧臂	nainstalujte bionické zápalné rameno	installer bionisk brandarm	installeer een bionische brandgevaarlijke arm	paigaldage biooniline süüteõlg	asenna bioninen sytytysvarsi	εγκαταστήστε βιονικό εμπρηστικό βραχίονα	telepítse a bionikus gyújtókart	installer bionisk brannarm	instalar braço incendiário biônico	instalați braț incendiar bionic	nainštalujte bionické zápalné rameno	instalar brazo incendiario biónico	installera bionisk brandarm	biyonik yangın söndürücü kolu takın
