Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
RecipeDef&KokuRemoveAdvancedMedicalSternum.jobString	removing advanced medical sternum.																												
RecipeDef&KokuRemoveAdvancedDruggedSternum.label	remove advanced drugged sternum																												
RecipeDef&KokuRemoveAdvancedDruggedSternum.description	Removes advanced drugged sternum.																												
RecipeDef&KokuRemoveAdvancedDruggedSternum.jobString	removing advanced drugged sternum.																												
RecipeDef&KokuRemoveAdvancedAdrenalineSternum.label	remove advanced adrenaline sternum																												
RecipeDef&KokuRemoveAdvancedAdrenalineSternum.description	Removes advanced adrenaline sternum.																												
RecipeDef&KokuRemoveAdvancedAdrenalineSternum.jobString	removing advanced adrenaline sternum.																												
RecipeDef&KokuRemoveAdvancedPainkillerSternum.label	remove advanced painkiller sternum																												
RecipeDef&KokuRemoveAdvancedPainkillerSternum.description	Removes advanced painkiller sternum.																												
RecipeDef&KokuRemoveAdvancedPainkillerSternum.jobString	removing advanced painkiller sternum.																												
RecipeDef&KokuRemoveUltraMedicalSternum.label	remove ultra medical sternum																												
RecipeDef&KokuRemoveUltraMedicalSternum.description	Removes ultra medical sternum.																												
RecipeDef&KokuRemoveUltraMedicalSternum.jobString	removing ultra medical sternum.																												
RecipeDef&KokuRemoveUltraDruggedSternum.label	remove ultra drugged sternum																												
RecipeDef&KokuRemoveUltraDruggedSternum.description	Removes ultra drugged sternum.																												
RecipeDef&KokuRemoveUltraDruggedSternum.jobString	removing ultra drugged sternum.																												
RecipeDef&KokuRemoveUltraAdrenalineSternum.label	remove advanced ultra sternum																												
RecipeDef&KokuRemoveUltraAdrenalineSternum.description	Removes ultra adrenaline sternum.																												
RecipeDef&KokuRemoveUltraAdrenalineSternum.jobString	removing ultra adrenaline sternum.																												
RecipeDef&KokuRemoveUltraPainkillerSternum.label	remove ultra painkiller sternum																												
RecipeDef&KokuRemoveUltraPainkillerSternum.description	Removes ultra painkiller sternum.																												
RecipeDef&KokuRemoveUltraPainkillerSternum.jobString	removing ultra painkiller sternum.																												
RecipeDef&KokuInstallWoodenJaw.label	install wooden jaw		Holz-Kiefer installieren		Zainstaluj drewnianą szczęke							Установить деревянную челюсть	Встановити дерев'яну щелепу											Instalar mandíbula de madeira					
RecipeDef&KokuInstallWoodenJaw.description	Installs a wooden jaw.		Installiert einen Holz-Kiefer.		Instaluje drewnianą szczęke.							Устанавливает деревянную челюсть.	Встановлює дерев'яну щелепу.											Instala uma mandíbula de madeira.					
RecipeDef&KokuInstallWoodenJaw.jobString	Installing a wooden jaw.		Installiert einen Holz-Kiefer		Instaluje drewnianą szczęke							Устанавливает деревянную челюсть	Встановлює дерев'яну щелепу											Instalando mandíbula de madeira					
RecipeDef&KokuInstallWoodenArm.label	install wooden shoulder-arm		Holzarm		Drewniane ramię							Деревянная рука	Дерев'яне рука											Braço de madeira					
RecipeDef&KokuInstallWoodenArm.description	Installs wooden arm.																												
RecipeDef&KokuInstallWoodenArm.jobString	Installing wooden arm.																												
RecipeDef&KokuInstallWoodenLeg.label	install wooden leg																												
RecipeDef&KokuInstallWoodenLeg.description	Installs a wooden leg.																												
RecipeDef&KokuInstallWoodenLeg.jobString	Installing wooden leg.																												
RecipeDef&KokuInstallArtificialNose.label	install artificial nose		Künstliche Nase installieren		Zainstaluj sztuczny nos							Установить искусственный нос	Встановити штучний ніс											Instalar nariz artificial					
RecipeDef&KokuInstallArtificialNose.description	Installs artificial nose.		Installiert eine künstliche Nase.		Instaluje sztuczny nos.							Устанавливает искусственный нос.	Встановлює штучний ніс.											Instala um nariz artificial.					
RecipeDef&KokuInstallArtificialNose.jobString	Installing artificial nose.		Installiert eine künstliche Nase		Instaluje sztuczny nos							Устанавливает искусственный нос	Встановлює штучний ніс											Instalando nariz artificial					
RecipeDef&KokuInstallArtificialEar.label	install artificial ear		Künstliches Ohr installieren		Zainstaluj sztuczne ucho							Установить искусственное ухо	Встановити штучне вухо											Instalar orelha artificial					
RecipeDef&KokuInstallArtificialEar.description	Installs artificial ear.		Installiert ein künstliches Ohr.		Instaluje sztuczne ucho.							Устанавливает искусственное ухо.	Встановлює штучне вухо.											Instala uma orelha artificial.					
RecipeDef&KokuInstallArtificialEar.jobString	Installing artificial ear.		Installiert ein künstliches Ohr		Instaluje sztuczne ucho							Устанавливает искусственное ухо	Встановлює штучне вухо											Instalando orelha artificial					
RecipeDef&KokuInstallKokuArtificialEye.label	install artificial eye		Künstliches Auge installieren		Zainstaluj sztuczne oko							Установить искусственный глаз	Встановити штучне око											Instalar olho artificial					
RecipeDef&KokuInstallKokuArtificialEye.description	Installs artificial eye.		Installiert ein künstliches Auge.		Instaluje sztuczne oko.							Устанавливает искусственный глаз.	Встановлює штучне око.											Instala um olho artificial.					
RecipeDef&KokuInstallKokuArtificialEye.jobString	Installing artificial eye.		Installiert ein künstliches Auge		Instaluje sztuczne oko							Устанавливает искусственный глаз	Встановлює штучне око											Instala um olho artificial					
RecipeDef&KokuInstallHydraulicJaw.label	install hydraulic jaw		Hydraulische Kiefer installieren		Zainstaluj hydrauliczną szczęke							Установить гидравлическую челюсть	Встановити гідравлічну щелепу											Instalar mandíbula hidráulica					
RecipeDef&KokuInstallHydraulicJaw.description	Installs hydraulic jaw.		Installiert einen hydraulischen Kiefer.		Instaluje hydrauliczną szczęke.							Устанавливает гидравлическую челюсть.	Встановлює гідравлічну щелепу.											Instala uma mandíbula hidráulica.					
RecipeDef&KokuInstallHydraulicJaw.jobString	Installing hydraulic jaw.		Installiert einen hydraulischen Kiefer		Instaluje hydrauliczną szczęke							Устанавливает гидравлическую челюсть	Встановлює гідравлічну щелепу											Instalando mandíbula hidráulica					
RecipeDef&KokuInstallSimpleHydraulicArm.label	install hydraulic shoulder-arm		Hydraulischen Arm installieren		Zainstaluj hydrauliczne ramie							Установить гидравлическую руку	Встановити гідравлічну руку											Instalar braço hidráulico simples					
RecipeDef&KokuInstallSimpleHydraulicArm.description	Installs a hydraulic arm.		Installiert einen hydraulischen Arm.		Instaluje hydrauliczne ramie.							Устанавливает гидравлическую руку.	Встановлює гідравлічну руку.											Instala um braço hidráulico simples.					
RecipeDef&KokuInstallSimpleHydraulicArm.jobString	Installing hydraulic arm.		Installiert einen hydraulischen Arm		Instaluje hydrauliczne ramie							Устанавливает гидравлическую руку	Встановлює гідравлічну руку											Instalando braço hidráulico simples					
RecipeDef&KokuInstallSimpleHydraulicLeg.label	install hydraulic leg		Hydraulische Bein installieren		Zainstaluj hydrauliczną noge							Установить гидравлическую ногу	Встановити гідравлічну ногу											Instalar perna hidráulica simples					
RecipeDef&KokuInstallSimpleHydraulicLeg.description	Installs a hydraulic leg.		Installiert ein hydraulisches Bein.		Instaluje hydrauliczną noge.							Устанавливает гидравлическую ногу.	Встановлює гідравлічну ногу.											Instala uma perna hidráulica simples.					
RecipeDef&KokuInstallSimpleHydraulicLeg.jobString	Installing hydraulic leg.		Installiert ein hydraulisches Bein		Instaluje hydrauliczną noge							Устанавливает гидравлическую ногу	Встановлює гідравлічну ногу											Instalando perna hidráulica simples					
RecipeDef&KokuInstallBionicNose.label	install bionic nose		Bionische Nase installieren		Zainstaluj bioniczny nos							Установить бионический нос	Встановити біонічний ніс											Instalar nariz biónico					
RecipeDef&KokuInstallBionicNose.description	Installs bionic nose.		Installiert eine bionische Nase.		Instaluje bioniczny nos.							Устанавливает бионический нос.	Встановлює біонічний ніс.											Instala um nariz biónico.					
RecipeDef&KokuInstallBionicNose.jobString	Installing bionic nose.		Installiert eine bionische Nase		Instaluje bioniczny nos							Устанавливает бионический нос	Встановлює біонічний ніс											Instalando nariz biónico					
RecipeDef&KokuInstallBionicEar.label	install bionic ear implant		Bionisches Ohr installieren		Zainstaluj bioniczne ucho							Установить бионическое ухо	Встановити біонічне вухо											Instalar orelha biónica					
RecipeDef&KokuInstallBionicEar.description	Installs a bionic ear implant.		Installiert ein bionisches Ohr.		Instaluje bioniczne ucho.							Устанавливает бионическое ухо.	Встановлює біонічне вухо.											Instala uma orelha biónica.					
RecipeDef&KokuInstallBionicEar.jobString	Installing a bionic ear implant.		Installiert ein bionisches Ohr		Instaluje bioniczne ucho							Устанавливает бионическое ухо	Встановлює біонічне вухо											Instalando orelha biónica					
RecipeDef&KokuInstallBionicEye.label	install bionic eye		Bionisches Auge installieren		Zainstaluj bioniczne oko							Установить бионческий глаз	Встановити біонічне око											Instalar olho biónico					
RecipeDef&KokuInstallBionicEye.description	Installs a bionic eye.		Installiert ein bionisches Auge.		Instaluje bioniczne oko.							Устанавливает бионческий глаз.	Встановлює біонічне око.											Instala um olho biónico.					
RecipeDef&KokuInstallBionicEye.jobString	Installing a bionic eye.		Installiert ein bionisches Auge		Instaluje bioniczne oko							Устанавливает бионческий глаз	Встановлює біонічне око											Instala um olho biónico					
RecipeDef&KokuInstallBionicJaw.label	install bionic jaw implant		Bionische Kiefer installieren		Zainstaluj bioniczną szczęke							Установить бионическую челюсть	Встановити біонічну щелепу											Instalar mandíbula biónica					
RecipeDef&KokuInstallBionicJaw.description	Installs a bionic jaw implant.		Installiert einen bionischen Kiefer.		Instaluje bioniczną szczęke.							Устанавливает бионическую челюсть.	Встановлює біонічну щелепу.											Instala uma mandíbula biónica.					
RecipeDef&KokuInstallBionicJaw.jobString	Installing a bionic jaw implant.		Installiert einen bionischen Kiefer		Instaluje bioniczną szczęke							Устанавливает бионическую челюсть	Встановлює біонічну щелепу											Instalando mandíbula biónica					
RecipeDef&KokuInstallMuteJaw.label	install mute jaw implant		Stummen Kiefer installieren		Zainstaluj niemą szczęke							Установить немую челюсть	Встановити німу щелепу											Instalar mandíbula muda					
RecipeDef&KokuInstallMuteJaw.description	Installs a mute jaw implant.		Installiert einen stummen Kiefer.		Instaluje niemą szczęke.							Устанавливает немую челюсть.	Встановлює німу щелепу.											Instala uma mandíbula muda.					
RecipeDef&KokuInstallMuteJaw.jobString	Installing a mute jaw implant.		Installiert einen stummen Kiefer		Instaluje niemą szczęke							Устанавливает немую челюсть	Встановлює німу щелепу											Instalando mandíbula muda					
RecipeDef&KokuInstallBionicArm.label	install bionic shoulder-arm		Bionischen Arm installieren		Zainstaluj bioniczne ramie							Установить бионическую руку	Встановити біонічну руку											Instalar braço biónico					
RecipeDef&KokuInstallBionicArm.description	Installs bionic arm.		Installiert einen bionischen Arm.		Instaluje bioniczne ramie.							Устанавливает бионическую руку.	Встановлює біонічну руку.											Instala um braço biónico.					
RecipeDef&KokuInstallBionicArm.jobString	Installing bionic arm.		Installiert einen bionischen Arm		Instaluje bioniczne ramie							Устанавливает бионическую руку	Встановлює біонічну руку											Instalando braço biónico					
RecipeDef&KokuInstallBionicLeg.label	install bionic leg		Bionische Bein installieren		Zainstaluj bioniczną noge							Установить бионическую ногу	Встановити біонічну ногу											Instalar perna biónica					
RecipeDef&KokuInstallBionicLeg.description	Installs bionic leg.		Installiert ein bionisches Bein.		Instaluje bioniczną noge.							Устанавливает бионическую ногу.	Встановлює біонічну ногу.											Instala uma perna biónica.					
RecipeDef&KokuInstallBionicLeg.jobString	Installing bionic leg.		Installiert ein bionisches Bein		Instaluje bioniczną noge							Устанавливает бионическую ногу	Встановлює біонічну ногу											Instalando perna biónica					
RecipeDef&KokuInstallBionicSpine.label	install bionic spine		Bionische Wirbelsäule installieren		Zainstaluj bioniczny kręgosłup							Установить бионческий позвоночник	Встановити біонічний хребет											Instalar coluna biónica					
RecipeDef&KokuInstallBionicSpine.description	Installs a bionicspine.		Installiert eine bionische Wirbelsäule.		Instaluje bioniczny kręgosłup.							Устанавливает бионческий позвоночник.	Встановлює біонічний хребет.											Instala uma coluna biónica.					
RecipeDef&KokuInstallBionicSpine.jobString	Installing a bionic spine.		Installiert eine bionische Wirbelsäule		Instaluje bioniczny kręgosłup							Устанавливает бионческий позвоночник	Встановлює біонічний хребет											Instala uma coluna biónica					
RecipeDef&KokuInstallBionicPelvis.label	install bionic pelvis		Bionische Becken installieren		Zainstaluj bioniczną miednicę							Установить бионческую тазовую кость	Встановити біонічну таз											Instalar pelve biónica					
RecipeDef&KokuInstallBionicPelvis.description	Installs a bionic pelvis.		Installiert ein bionisches Becken.		Instaluje bioniczną miednicę.							Устанавливает бионческую тазовую кость.	Встановлює біонічну таз.											Instala uma pelve biónica.					
RecipeDef&KokuInstallBionicPelvis.jobString	Installing a bionic pelvis.		Installiert ein bionisches Becken		Instaluje bioniczną miednicę							Устанавливает бионческую тазовую кость	Встановлює біонічну таз											Instala uma pelve biónica					
RecipeDef&KokuInstallBionicNeck.label	install bionic neck		Bionische Halswirbelsäule installieren		Zainstaluj bioniczną szyję							Установить бионческую шею	Встановити біонічну шию											Instalar pescoço biónico					
RecipeDef&KokuInstallBionicNeck.description	Installs a bionic neck.		Installiert eine bionische Halswirbelsäule.		Instaluje bioniczną szyję.							Устанавливает бионческую шею.	Встановлює біонічну шию.											Instala um pescoço biónico.					
RecipeDef&KokuInstallBionicNeck.jobString	Installing a bionic neck.		Installiert eine bionische Halswirbelsäule		Instaluje bioniczną szyję							Устанавливает бионческую шею	Встановлює біонічну шию											Instala um pescoço biónico					
RecipeDef&KokuInstallMedicalSternum.label	install medical sternum		Medizinischen Brustkorb installieren		Zainstaluj medyczny mostek							Установить медицинскую грудину	Встановити медичну грудину											Instalar esterno médico					
RecipeDef&KokuInstallMedicalSternum.description	Installs a medical sternum.		Installiert einen medizinischen Brustkorb.		Instaluje medyczny mostek.							Устанавливает медицинскую грудину.	Встановлює медичну грудину.											Instala um esterno médico.					
RecipeDef&KokuInstallMedicalSternum.jobString	Installing a medical sternum.		Installiert einen medizinischen Brustkorb		Instaluje medyczny mostek							Устанавливает медицинскую грудину	Встановлює медичну грудину											Instala um esterno médico					
RecipeDef&KokuInstallDruggedSternum.label	install drugged sternum		Drogene Brustkorb installieren		Zainstaluj narkotyzujący mostek							Установите наркотический грудной мост	Встановити наркотичний груди											Instalar esterno narcotizante					
RecipeDef&KokuInstallDruggedSternum.description	Installs a drugged sternum.		Installiert einen drogeninduzierten Brustkorb.		Instaluje narkotyzujący mostek.							Устанавливает наркотический грудной мост.	Встановлює наркотичний груди.											Instala um esterno narcotizante.					
RecipeDef&KokuInstallDruggedSternum.jobString	Installing a drugged sternum.		Installiert einen drogeninduzierten Brustkorb		Instaluje narkotyzujący mostek							Устанавливает наркотический грудной мост	Встановлює наркотичний груди											Instala um esterno narcotizante					
RecipeDef&KokuInstallAdrenalineSternum.label	install adrenaline sternum		Adrenalin Brustkorb installieren		Zainstaluj mostek z adrenaliną							Установите грудной мост с адреналином	Встановити адреналіновий груди											Instalar ponte de adrenalina					
RecipeDef&KokuInstallAdrenalineSternum.description	Installs an adrenaline sternum.		Installiert einen Adrenalin-Brustkorb.		Instaluje mostek z adrenaliną.							Устанавливает грудной мост с адреналином.	Встановлює адреналіновий груди.											Instala um ponte de adrenalina.					
RecipeDef&KokuInstallAdrenalineSternum.jobString	Installing an adrenaline sternum.		Installiert einen Adrenalin-Brustkorb		Instaluje mostek z adrenaliną							Устанавливает грудной мост с адреналином	Встановлює адреналіновий груди											Instala um ponte de adrenalina					
RecipeDef&KokuInstallPainkillerSternum.label	install painkiller sternum		Schmerzmittel Brustkorb installieren		Zainstaluj przeciwbólowy mostek							Установите обезболивающий грудной мост	Встановити знеболювальний груди											Instalar ponte analgésico					
RecipeDef&KokuInstallPainkillerSternum.description	Installs a painkiller sternum.		Installiert einen schmerzstillenden Brustkorb.		Instaluje przeciwbólowy mostek.							Устанавливает обезболивающий грудной мост.	Встановлює знеболювальний груди.											Instala um ponte analgésico.					
RecipeDef&KokuInstallPainkillerSternum.jobString	Installing a painkiller sternum.		Installiert einen schmerzstillenden Brustkorb		Instaluje przeciwbólowy mostek							Устанавливает обезболивающий грудной мост	Встановлює знеболювальний груди											Instala um ponte analgésico					
RecipeDef&KokuInstallNanomachinesRibcage.label	install nanomachines ribcage		Installiere einen Brustkorb mit Nanomaschinen		Zainstaluj klatke piersiową z nanomaszynami							Установите грудную клетку с наномашинами	Встановити грудну клітку з наномашинами											Instalar caixa torácica com nanomáquinas					
RecipeDef&KokuInstallNanomachinesRibcage.description	Installs a nanomachines ribcage.		Installiert einen Brustkorb mit Nanomaschinen.		Instaluje klatke piersiową z nanomaszynami.							Устанавливает грудную клетку с наномашинами.	Встановлює грудну клітку з наномашинами.											Instala uma caixa torácica com nanomáquinas.					
RecipeDef&KokuInstallNanomachinesRibcage.jobString	Installing a nanomachines ribcage.		Installiere einen Brustkorb mit Nanomaschinen		Instaluje klatke piersiową z nanomaszynami							Устанавливает грудную клетку с наномашинами	Встановлює грудну клітку з наномашинами											Instala uma caixa torácica com nanomáquinas					
RecipeDef&KokuInstallArtificialBrain.label	install artificial brain		Installiere ein künstliches Gehirn		Zainstaluj sztuczny mózg							Установите искусственный мозг	Встановити штучний мозок											Instalar cérebro artificial					
RecipeDef&KokuInstallArtificialBrain.description	Installs artificial brain.		Installiert ein künstliches Gehirn.		Instaluje sztuczny mózg.							Устанавливает искусственный мозг.	Встановлює штучний мозок.											Instala um cérebro artificial.					
RecipeDef&KokuInstallArtificialLung.label	install artificial lung		Installiere eine künstliche Lunge		Zainstaluj sztuczne płuco							Установите искусственное легкое	Встановіть штучне легке											Instalar pulmão artificial					
RecipeDef&KokuInstallArtificialLung.description	Installs artificial lung.		Installiert eine künstliche Lunge.		Instaluje sztuczne płuco.							Устанавливает искусственное легкое.	Встановлює штучне легке.											Instala um pulmão artificial.					
RecipeDef&KokuInstallArtificialStomach.label	install artificial stomach		Installiere einen künstlichen Magen		Zainstaluj sztuczny żołądek							Установите искусственный желудок	Встановіть штучний шлунок											Instalar estômago artificial					
RecipeDef&KokuInstallArtificialStomach.description	Installs a artificial stomach.		Installiert einen künstlichen Magen.		Instaluje sztuczny żołądek.							Устанавливает искусственный желудок.	Встановлює штучний шлунок.											Instala um estômago artificial.					
RecipeDef&KokuInstallArtificialLiver.label	install artificial liver		Installiere eine künstliche Leber		Zainstaluj sztuczną wątrobe							Установите искусственную печень	Встановіть штучну печінку											Instalar fígado artificial					
RecipeDef&KokuInstallArtificialLiver.description	Installs a artificial liver.		Installiert eine künstliche Leber.		Instaluje sztuczną wątrobe.							Устанавливает искусственную печень.	Встановлює штучну печінку.											Instala um fígado artificial.					
RecipeDef&KokuInstallArtificialKidney.label	install artificial kidney		Installiere eine künstliche Niere		Zainstaluj sztuczną nerke							Установите искусственную почку	Встановіть штучну нирку											Instalar rim artificial					
RecipeDef&KokuInstallArtificialKidney.description	Installs a artificial kidney.		Installiert eine künstliche Niere.		Instaluje sztuczną nerke.							Устанавливает искусственную почку.	Встановлює штучну нирку.											Instala um rim artificial.					
RecipeDef&KokuInstallArtificialHeart.label	install artificial heart		Installiere ein künstliches Herz		Zainstaluj sztuczne serce							Установите искусственное сердце	Встановіть штучне серце											Instalar coração artificial					
RecipeDef&KokuInstallArtificialHeart.description	Installs an artificial heart.		Installiert ein künstliches Herz.		Instaluje sztuczne serce.							Устанавливает искусственное сердце.	Встановлює штучне серце.											Instala um coração artificial.					
RecipeDef&KokuInstallAdvancedBionicNose.label	install advanced bionic nose		Fortgeschrittene Nase installieren		Zainstaluj zaawansowany nos							Установить продвинутый нос	Встановити вдосконалений ніс											Instalar nariz biónico avançado					
RecipeDef&KokuInstallAdvancedBionicNose.description	Installs advanced bionic nose.		Installiert eine fortgeschrittene Nase.		Instaluje zaawansowany nos.							Устанавливает продвинутый нос.	Встановлює вдосконалений ніс.											Instala um nariz biónico avançado.					
RecipeDef&KokuInstallAdvancedBionicNose.jobString	Installing advanced bionic nose.		Installiert eine fortgeschrittene Nase		Instaluje zaawansowany nos							Устанавливает продвинутый нос	Встановлює вдосконалений ніс											Instalando nariz biónico avançado					
RecipeDef&KokuInstallAdvancedBionicEar.label	install advanced bionic ear implant		Fortgeschrittenes Ohr installieren		Zainstaluj zaawansowane ucho							Установить усовершенствованное ухо	Встановити вдосконалене вухо											Instalar orelha biónica avançada					
RecipeDef&KokuInstallAdvancedBionicEar.description	Installs a advanced bionic ear implant.		Installiert ein fortgeschrittenes Ohr.		Instaluje zaawansowane ucho.							Устанавливает усовершенствованное ухо.	Встановлює вдосконалене вухо.											Instala uma orelha biónica avançada.					
RecipeDef&KokuInstallAdvancedBionicEar.jobString	Installing a advanced bionic ear implant.		Installiert ein fortgeschrittenes Ohr		Instaluje zaawansowane ucho							Устанавливает усовершенствованное ухо	Встановлює вдосконалене вухо											Instalando orelha biónica avançada					
RecipeDef&KokuInstallAdvancedBionicEye.label	install advanced bionic eye		Fortgeschrittenes Auge installieren		Zainstaluj zaawansowane oko							Установить усовершенствованный глаз	Встановити вдосконалене око											Instalar olho biónico avançado					
RecipeDef&KokuInstallAdvancedBionicEye.description	Installs a advanced bionic eye.		Installiert ein fortgeschrittenes Auge.		Instaluje zaawansowane oko.							Устанавливает усовершенствованный глаз.	Встановлює вдосконалене око.											Instala um olho biónico avançado.					
RecipeDef&KokuInstallAdvancedBionicEye.jobString	Installing a advanced bionic eye.		Installiert ein fortgeschrittenes Auge		Instaluje zaawansowane oko							Устанавливает усовершенствованный глаз	Встановлює вдосконалене око											Instala um olho biónico avançado					
RecipeDef&KokuInstallAdvancedBionicJaw.label	install advanced bionic jaw implant		Fortgeschrittenen Kiefer installieren		Zainstaluj zaawansowaną szczęke							Установить продвинутую челюсть	Встановити вдосконалену щелепу											Instalar mandíbula biónica avançada					
RecipeDef&KokuInstallAdvancedBionicJaw.description	Installs a advanced bionic jaw implant.		Installiert einen fortgeschrittenen Kiefer.		Instaluje zaawansowaną szczęke.							Устанавливает продвинутую челюсть.	Встановлює вдосконалену щелепу.											Instala uma mandíbula biónica avançada.					
RecipeDef&KokuInstallAdvancedBionicJaw.jobString	Installing a advanced bionic jaw implant.		Installiert einen fortgeschrittenen Kiefer		Instaluje zaawansowaną szczęke							Устанавливает продвинутую челюсть	Встановлює вдосконалену щелепу											Instalando mandíbula biónica avançada					
RecipeDef&KokuInstallAdvancedBionicArm.label	install advanced bionic shoulder-arm		Fortgeschrittenen Arm installieren		Zainstaluj zaawansowane ramie							Установить продвинутую руку	Встановити вдосконалену руку											Instalar braço biónico avançado					
RecipeDef&KokuInstallAdvancedBionicArm.description	Installs advanced bionic arm.		Installiert einen fortgeschrittenen Arm.		Instaluje zaawansowane ramie.							Устанавливает продвинутую руку.	Встановлює вдосконалену руку.											Instala um braço biónico avançado.					
RecipeDef&KokuInstallAdvancedBionicArm.jobString	Installing advanced bionic arm.		Installiert einen fortgeschrittenen Arm		Instaluje zaawansowane ramie							Устанавливает продвинутую руку	Встановлює вдосконалену руку											Instalando braço biónico avançado					
RecipeDef&KokuInstallAdvancedBionicLeg.label	install advanced bionic leg		Fortgeschrittene Bein installieren		Zainstaluj zaawansowaną noge							Установить продвинутую ногу	Встановити вдосконалену ногу											Instalar perna biónica avançada					
RecipeDef&KokuInstallAdvancedBionicLeg.description	Installs advanced bionic leg.		Installiert ein fortgeschrittenes Bein.		Instaluje zaawansowaną noge.							Устанавливает продвинутую ногу.	Встановлює вдосконалену ногу.											Instala uma perna biónica avançada.					
RecipeDef&KokuInstallAdvancedBionicLeg.jobString	Installing advanced bionic leg.		Installiert ein fortgeschrittenes Bein		Instaluje zaawansowaną noge							Устанавливает продвинутую ногу	Встановлює вдосконалену ногу											Instalando perna biónica avançada					
RecipeDef&KokuInstallExoskeleton.label	install exoskeleton suit		Installiere ein Exoskelett		Zainstaluj egzoszkielet							Установите экзоскелет	Встановити екзоскелет											Instalar exoesqueleto					
RecipeDef&KokuInstallExoskeleton.description	Installs exoskeleton suit.		Installiert ein Exoskelett.		Instaluje egzoszkielet.							Устанавливает экзоскелет.	Встановлює екзоскелет.											Instala um exoesqueleto.					
RecipeDef&KokuInstallExoskeleton.jobString	Installing exoskeleton suit.		Installiere ein Exoskelett		Instaluje egzoszkielet							Устанавливает экзоскелет	Встановлює екзоскелет											Instala um exoesqueleto					
RecipeDef&KokuInstallAdvancedBionicSpine.label	install advanced bionic spine		Fortgeschrittene Wirbelsäule installieren		Zainstaluj zaawansowany kręgosłup							Установить усовершенствованный позвоночник	Встановити вдосконалений хребет											Instalar coluna biónica avançada					
RecipeDef&KokuInstallAdvancedBionicSpine.description	Installs a advanced bionic spine.		Installiert eine fortgeschrittene Wirbelsäule.		Instaluje zaawansowany kręgosłup.							Устанавливает усовершенствованный позвоночник.	Встановлює вдосконалений хребет.											Instala uma coluna biónica avançada.					
RecipeDef&KokuInstallAdvancedBionicSpine.jobString	Installing a advanced bionic spine.		Installiert eine fortgeschrittene Wirbelsäule		Instaluje zaawansowany kręgosłup							Устанавливает усовершенствованный позвоночник	Встановлює вдосконалений хребет											Instala uma coluna biónica avançada					
RecipeDef&KokuInstallAdvancedBionicPelvis.label	install advanced bionic pelvis		Fortgeschrittenes Becken installieren		Zainstaluj zaawansowaną miednicę							Установить усовершенствованный таз	Встановити вдосконалену таз											Instalar pelve biónica avançada					
RecipeDef&KokuInstallAdvancedBionicPelvis.description	Installs an advanced bionic pelvis.		Installiert ein fortgeschrittenes Becken.		Instaluje zaawansowaną miednicę.							Устанавливает усовершенствованный таз.	Встановлює вдосконалену таз.											Instala uma pelve biónica avançada.					
RecipeDef&KokuInstallAdvancedBionicPelvis.jobString	Installing an advanced bionic pelvis.		Installiert ein fortgeschrittenes Becken		Instaluje zaawansowaną miednicę							Устанавливает усовершенствованный таз	Встановлює вдосконалену таз											Instala uma pelve biónica avançada					
RecipeDef&KokuInstallAdvancedBionicNeck.label	install advanced bionic neck		Fortgeschrittene Halswirbelsäule installieren		Zainstaluj zaawansowaną szyję							Установить усовершенствованную шею	Встановити вдосконалену шию											Instalar pescoço biónico avançado					
RecipeDef&KokuInstallAdvancedBionicNeck.description	Installs an advanced bionic neck.		Installiert eine fortgeschrittene Halswirbelsäule.		Instaluje zaawansowaną szyję.							Устанавливает усовершенствованную шею.	Встановлює вдосконалену шию.											Instala um pescoço biónico avançado.					
RecipeDef&KokuInstallAdvancedBionicNeck.jobString	Installing an advanced bionic neck.		Installiert eine fortgeschrittene Halswirbelsäule		Instaluje zaawansowaną szyję							Устанавливает усовершенствованную шею	Встановлює вдосконалену шию											Instala um pescoço biónico avançado					
RecipeDef&KokuInstallAdvancedMedicalSternum.label	install advanced medical sternum		Fortgeschrittenen medizinischen Brustkorb installieren		Zainstaluj zaawansowany medyczny mostek							Установить усовершенствованную медицинскую грудину	Встановити вдосконалену медичну грудину											Instalar esterno médico avançado					
RecipeDef&KokuInstallAdvancedMedicalSternum.description	Installs a advanced medical sternum.		Installiert einen fortgeschrittenen medizinischen Brustkorb.		Instaluje zaawansowany medyczny mostek.							Устанавливает усовершенствованную медицинскую грудину.	Встановлює вдосконалену медичну грудину.											Instala um esterno médico avançado.					
RecipeDef&KokuInstallAdvancedMedicalSternum.jobString	Installing a advanced medical sternum.		Installiert einen fortgeschrittenen medizinischen Brustkorb		Instaluje zaawansowany medyczny mostek							Устанавливает усовершенствованную медицинскую грудину	Встановлює вдосконалену медичну грудину											Instala um esterno médico avançado					
RecipeDef&KokuInstallAdvancedDruggedSternum.label	install advanced drugged sternum		Fortgeschrittenen drogeninduzierten Brustkorb installieren		Zainstaluj zaawansowany narkotyzujący mostek							Установите усовершенствованный наркотический грудной мост	Встановити вдосконалений наркотичний груди											Instalar esterno narcotizante avançado					
RecipeDef&KokuInstallAdvancedDruggedSternum.description	Installs a advanced drugged sternum.		Installiert einen fortgeschrittenen drogeninduzierten Brustkorb.		Instaluje zaawansowany narkotyzujący mostek.							Устанавливает усовершенствованный наркотический грудной мост.	Встановлює вдосконалений наркотичний груди.											Instala um esterno narcotizante avançado.					
