Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
HediffDef&KokuV3RangeSoldierSkullImplant.description	An installed V3 range soldier skull implant.	Ein installiertes Soldatenschädelimplantat der V3-Reihe.	取り付けられた V3 範囲兵士の頭蓋骨インプラント。	Zainstalowany implant czaszki żołnierza serii V3.	Un implante de cráneo de soldado de rango V3 instalado.	Un implant crânien de soldat de la gamme V3 installé.	已安装的 V3 系列士兵头骨植入物。	Un impianto cranico di soldato della gamma V3 installato.	설치된 V3 범위 군인 두개골 임플란트.	Um implante de crânio de soldado da linha V3 instalado.	Установлен имплантат черепа солдата серии V3.	Встановлений солдатський імплантат серії V3.	Un implant de crani de soldat de la gamma V3 instal·lat.	已安装的 V3 系列士兵头骨植入物。	Instalovaný implantát lebky vojáka řady V3.	Et installeret V3-seriens soldatkranieimplantat.	Een geïnstalleerd V3-soldatenschedelimplantaat.	Paigaldatud V3 vahemiku sõduri kolju implantaat.	Asennettu V3-sarjan sotilaan kalloimplantti.	Ένα εγκατεστημένο εμφύτευμα κρανίου στρατιώτη εμβέλειας V3.	Beépített V3-as katonakoponya implantátum.	Et installert V3-serien soldathodeskalleimplantat.	Um implante de crânio de soldado da linha V3 instalado.	Un implant de craniu de soldat din gama V3 instalat.	Nainštalovaný implantát lebky vojaka radu V3.	Un implante de cráneo de soldado de rango V3 instalado.	Ett installerat V3-sortiment soldatskalleimplantat.	Kurulu bir V3 serisi asker kafatası implantı.
RecipeDef&KokuInstallV1SleepLessSkullImplant.label	install V1 sleepless skull implant	Installieren Sie das schlaflose Schädelimplantat V1	V1スリープレス頭蓋骨インプラントを取り付けます	zainstaluj implant czaszki bezsennej V1	instalar el implante de cráneo sin dormir V1	installer l'implant crânien sans sommeil V1	安装V1不眠颅骨植入物	installare l'impianto cranico insonne V1	V1 잠 못 이루는 두개골 임플란트 설치	instalar implante de crânio sem dormir V1	установить имплантат бессонного черепа V1	встановити імплантат безсонного черепа V1	instal·lar un implant de crani sense dormir V1	安装V1不眠颅骨植入物	nainstalujte implantát lebky bez spánku V1	installer V1 søvnløs kranieimplantat	installeer V1 slapeloze schedelimplantaat	paigaldage V1 unetu kolju implantaat	asenna V1 uneton kalloimplantti	εγκαταστήστε V1 εμφύτευμα κρανίου χωρίς ύπνο	telepítse a V1 álmatlan koponya implantátumot	installer V1 søvnløs hodeskalleimplantat	instalar implante de crânio sem dormir V1	instalați implantul cranian fără somn V1	nainštalujte implantát lebky bez spánku V1	instalar el implante de cráneo sin dormir V1	installera V1 sömnlöst skallimplantat	V1 uykusuz kafatası implantını takın
RecipeDef&KokuInstallV1SleepLessSkullImplant.description	Installs V1 sleepless skull implant.	Installiert das schlaflose Schädelimplantat V1.	V1 スリープレス頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki bezsenności V1.	Instala el implante de cráneo sin dormir V1.	Installe l'implant crânien sans sommeil V1.	安装 V1 不眠颅骨植入物。	Installa l'impianto del cranio insonne V1.	V1 잠 못 이루는 두개골 임플란트를 설치합니다.	Instala o implante de crânio sem dormir V1.	Устанавливает имплантат черепа бессонницы V1.	Встановлює імплантат безсонного черепа V1.	Instal·la un implant de crani sense dormir V1.	安装 V1 不眠颅骨植入物。	Instaluje implantát lebky bez spánku V1.	Installerer V1 søvnløs kranieimplantat.	Installeert V1-slapeloze schedelimplantaat.	Paigaldab V1 unetu kolju implantaadi.	Asenna V1 uneton kallo-implantti.	Εγκαθιστά το εμφύτευμα κρανίου χωρίς ύπνο V1.	V1 álmatlan koponya implantátumot telepít.	Installerer V1 søvnløs hodeskalleimplantat.	Instala o implante de crânio sem dormir V1.	Instalează implantul cranian fără somn V1.	Inštaluje implantát lebky bez spánku V1.	Instala el implante de cráneo sin dormir V1.	Installerar V1 sömnlöst skalleimplantat.	V1 uykusuz kafatası implantını yükler.
RecipeDef&KokuInstallV2SleepLessSkullImplant.label	install V2 sleepless skull implant	Installieren Sie das schlaflose Schädelimplantat V2	V2スリープレス頭蓋骨インプラントを取り付けます	zainstaluj implant czaszki bezsennej V2	instalar el implante de cráneo sin dormir V2	installer l'implant crânien sans sommeil V2	安装V2不眠颅骨植入物	installare l'impianto cranico insonne V2	V2 불면증 두개골 임플란트 설치	instalar implante de crânio sem sono V2	установить имплантат бессонного черепа V2	встановити V2 безсонний черепний імплантат	instal·lar un implant de crani sense dormir V2	安装V2不眠颅骨植入物	nainstalujte implantát lebky bez spánku V2	installer V2 søvnløs kranieimplantat	installeer V2 slapeloze schedelimplantaat	paigaldage V2 unetu kolju implantaat	asenna V2 uneton kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου χωρίς ύπνο V2	telepítse a V2 álmatlan koponya implantátumot	installer V2 søvnløs hodeskalleimplantat	instalar implante de crânio sem sono V2	instalați implantul cranian fără somn V2	nainštalujte implantát lebky bez spánku V2	instalar el implante de cráneo sin dormir V2	installera V2 sömnlösa skalleimplantat	V2 uykusuz kafatası implantını takın
RecipeDef&KokuInstallV2SleepLessSkullImplant.description	Installs V2 sleepless skull implant.	Installiert das schlaflose V2-Schädelimplantat.	V2 スリープレス頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki bezsennej V2.	Instala el implante de cráneo V2 Sleepless.	Installe l'implant crânien sans sommeil V2.	安装 V2 不眠颅骨植入物。	Installa l'impianto del cranio insonne V2.	V2 잠 못 드는 두개골 임플란트를 설치합니다.	Instala o implante de crânio sem dormir V2.	Устанавливает имплантат черепа бессонницы V2.	Встановлює імплантат безсонного черепа V2.	Instal·la un implant de crani sense dormir V2.	安装 V2 不眠颅骨植入物。	Instaluje implantát lebky bez spánku V2.	Installerer V2 søvnløs kranieimplantat.	Installeert V2-slapeloze schedelimplantaat.	Paigaldab V2 unetu kolju implantaadi.	Asenna V2 uneton kalloimplantti.	Εγκαθιστά το εμφύτευμα κρανίου χωρίς ύπνο V2.	V2 álmatlan koponya implantátumot telepít.	Installerer V2 søvnløs hodeskalleimplantat.	Instala o implante de crânio sem dormir V2.	Instalează implantul cranian fără somn V2.	Inštaluje implantát lebky bez spánku V2.	Instala el implante de cráneo V2 Sleepless.	Installerar V2 sömnlöst skallimplantat.	V2 uykusuz kafatası implantını yükler.
RecipeDef&KokuInstallV3SleepLessSkullImplant.label	install V3 sleepless skull implant	Installieren Sie das schlaflose V3-Schädelimplantat	V3スリープレス頭蓋骨インプラントを設置します	zainstaluj implant czaszki bezsennej V3	instalar el implante de cráneo sin dormir V3	installer l'implant crânien sans sommeil V3	安装V3不眠颅骨植入物	installare l'impianto cranico insonne V3	V3 잠들지 않는 두개골 임플란트 설치	instalar implante de crânio sem sono V3	установить имплантат бессонного черепа V3	встановити V3 безсонний черепний імплантат	instal·lar un implant de crani sense dormir V3	安装V3不眠颅骨植入物	nainstalujte implantát lebky bez spánku V3	installer V3 søvnløs kranieimplantat	installeer V3 slapeloze schedelimplantaat	paigalda V3 unetu kolju implantaat	asenna V3 uneton kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου χωρίς ύπνο V3	telepítse a V3 álmatlan koponya implantátumot	installer V3 søvnløs hodeskalleimplantat	instalar implante de crânio sem sono V3	instalați implantul cranian fără somn V3	nainštalujte implantát lebky bez spánku V3	instalar el implante de cráneo sin dormir V3	installera V3 sömnlös skalleimplantat	V3 uykusuz kafatası implantını takın
RecipeDef&KokuInstallV3SleepLessSkullImplant.description	Installs V3 sleepless skull implant.	Installiert das schlaflose V3-Schädelimplantat.	V3スリープレス頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki bezsenności V3.	Instala el implante de cráneo sin dormir V3.	Installe l'implant crânien sans sommeil V3.	安装 V3 不眠颅骨植入物。	Installa l'impianto del cranio insonne V3.	V3 잠들지 않는 두개골 임플란트를 설치합니다.	Instala o implante de crânio sem sono V3.	Устанавливает имплантат черепа бессонницы V3.	Встановлює імплантат безсонного черепа V3.	Instal·la un implant de crani sense dormir V3.	安装 V3 不眠颅骨植入物。	Instaluje implantát lebky bez spánku V3.	Installerer V3 søvnløs kranieimplantat.	Installeert V3-slapeloze schedelimplantaat.	Paigaldab V3 unetu kolju implantaadi.	Asenna V3 uneton kallo-implantti.	Εγκαθιστά το εμφύτευμα κρανίου χωρίς ύπνο V3.	V3 álmatlan koponya implantátumot telepít.	Installerer V3 søvnløs hodeskalleimplantat.	Instala o implante de crânio sem sono V3.	Instalează implantul cranian fără somn V3.	Inštaluje implantát lebky bez spánku V3.	Instala el implante de cráneo sin dormir V3.	Installerar V3 sömnlöst skallimplantat.	V3 uykusuz kafatası implantını yükler.
RecipeDef&KokuInstallV1PsychicLessSkullImplant.label	install V1 psychicless skull implant	Installieren Sie das V1-Psychicless-Schädelimplantat	V1 サイキックレス頭蓋骨インプラントを取り付けます	zainstaluj bezpsychiczny implant czaszki V1	instalar el implante de cráneo sin psíquico V1	installer l'implant crânien psychique V1	安装 V1 无灵颅骨植入物	installare l'impianto del cranio psichico V1	V1 무심령 두개골 임플란트 설치	instale o implante de crânio sem psíquico V1	установить беспсихический имплантат черепа V1	встановити безекстрасенсний черепний імплантат V1	instal·leu un implant de crani sense psíquic V1	安装 V1 无灵颅骨植入物	nainstalujte implantát lebky bez psychiky V1	installer V1 psychicless kranieimplantat	installeer V1 paranormale schedelimplantaat	paigalda V1 psüühikata koljuimplantaat	asenna V1 psyykkinen kallo-implantti	εγκαταστήστε το εμφύτευμα κρανίου χωρίς ψυχικό V1	telepítse a V1 pszichés koponya implantátumot	installer V1 psychicless hodeskalleimplantat	instale o implante de crânio sem psíquico V1	instalați implantul cranian fără psihic V1	nainštalujte implantát lebky bez psychiky V1	instalar el implante de cráneo sin psíquico V1	installera V1 psychicless skalleimplantat	V1 psişiksiz kafatası implantını takın
RecipeDef&KokuInstallV1PsychicLessSkullImplant.description	Installs V1 psychicless skull implant.	Installiert das V1-Psychicless-Schädelimplantat.	V1 サイキックレス頭蓋骨インプラントを取り付けます。	Instaluje bezpsychiczny implant czaszki V1.	Instala el implante de cráneo sin psíquico V1.	Installe l'implant crânien psychique V1.	安装 V1 无灵颅骨植入物。	Installa l'impianto del cranio psichico V1.	V1 무심령 두개골 임플란트를 설치합니다.	Instala o implante de crânio sem psíquico V1.	Устанавливает беспсихический имплантат черепа V1.	Встановлює безекстрасенсний імплантат черепа V1.	Instal·la un implant de crani sense psíquic V1.	安装 V1 无灵颅骨植入物。	Instaluje implantát lebky bez psychiky V1.	Installerer V1 psykisk frit kranieimplantat.	Installeert V1 paranormale schedelimplantaat.	Paigaldab V1 psüühikata koljuimplantaadi.	Asenna V1-psyykkisen kallo-implantti.	Εγκαθιστά το εμφύτευμα κρανίου χωρίς ψυχικό V1.	V1 pszichés koponyaimplantátumot telepít.	Installerer V1 psykisk fritt hodeskalleimplantat.	Instala o implante de crânio sem psíquico V1.	Instalează implantul cranian fără psihic V1.	Inštaluje implantát lebky bez psychiky V1.	Instala el implante de cráneo sin psíquico V1.	Installerar V1 psychicless skallimplantat.	V1 psişiksiz kafatası implantını yükler.
RecipeDef&KokuInstallV2PsychicLessSkullImplant.label	install V2 psychicless skull implant	Installieren Sie das V2 Psychicless-Schädelimplantat	V2 サイキックレス頭蓋骨インプラントを取り付けます	zainstaluj bezpsychiczny implant czaszki V2	instalar el implante de cráneo sin psíquico V2	installer l'implant crânien psychique V2	安装 V2 无灵颅骨植入物	installare l'impianto del cranio psichico V2	V2 무심령 두개골 임플란트 설치	instale o implante de crânio sem psíquico V2	установить беспсихический имплантат черепа V2	встановити безекстрасенсний черепний імплантат V2	instal·lar un implant de crani sense psíquic V2	安装 V2 无灵颅骨植入物	nainstalujte implantát lebky bez psychiky V2	installer V2 psychicless kranieimplantat	installeer een V2-psychicless schedelimplantaat	paigalda V2 psüühikata koljuimplantaat	asenna V2 psyykkinen kallo-implantti	εγκαταστήστε το εμφύτευμα κρανίου χωρίς ψυχικό V2	telepítse a V2 pszichés koponyaimplantátumot	installer V2 psychicless hodeskalleimplantat	instale o implante de crânio sem psíquico V2	instalați implantul cranian fără psihic V2	nainštalujte implantát lebky bez psychiky V2	instalar el implante de cráneo sin psíquico V2	installera V2 psychicless skalleimplantat	V2 psişiksiz kafatası implantını takın
RecipeDef&KokuInstallV2PsychicLessSkullImplant.description	Installs V2 psychicless skull implant.	Installiert das V2-Psychicless-Schädelimplantat.	V2 サイキックレス頭蓋骨インプラントを取り付けます。	Instaluje bezpsychiczny implant czaszki V2.	Instala el implante de cráneo sin psíquico V2.	Installe l'implant crânien psychique V2.	安装 V2 无灵颅骨植入物。	Installa l'impianto del cranio psichico V2.	V2 무심령 두개골 임플란트를 설치합니다.	Instala o implante de crânio sem psíquico V2.	Устанавливает беспсихический имплантат черепа V2.	Встановлює безекстрасенсний імплантат черепа V2.	Instal·la un implant de crani sense psíquic V2.	安装 V2 无灵颅骨植入物。	Instaluje implantát lebky bez psychiky V2.	Installerer V2 psychicless kranieimplantat.	Installeert een V2-psychicless schedelimplantaat.	Paigaldab V2 psüühikata koljuimplantaadi.	Asentaa V2-psyykkisen kallo-implanttia.	Εγκαθιστά το εμφύτευμα κρανίου χωρίς ψυχικό V2.	V2 pszichés koponyaimplantátumot telepít.	Installerer V2 psykisk fritt hodeskalleimplantat.	Instala o implante de crânio sem psíquico V2.	Instalează implantul cranian fără psihic V2.	Inštaluje implantát lebky bez psychiky V2.	Instala el implante de cráneo sin psíquico V2.	Installerar V2 psychicless skallimplantat.	V2 psişik olmayan kafatası implantını yükler.
RecipeDef&KokuInstallV3PsychicLessSkullImplant.label	install V3 psychicless skull implant	Installieren Sie das V3-Psychicless-Schädelimplantat	V3 サイキックレス頭蓋骨インプラントを取り付けます	zainstaluj bezpsychiczny implant czaszki V3	instalar el implante de cráneo sin psíquico V3	installer l'implant crânien psychique V3	安装 V3 无灵颅骨植入物	installare l'impianto del cranio psichico V3	V3 무심령 두개골 임플란트 설치	instale o implante de crânio sem psíquico V3	установить беспсихический имплантат черепа V3	встановити безекстрасенсний черепний імплантат V3	instal·leu un implant de crani sense psíquic V3	安装 V3 无灵颅骨植入物	nainstalujte implantát lebky bez psychiky V3	installer V3 psychicless kranieimplantat	installeer een V3 paranormaal schedelimplantaat	paigalda V3 psüühikata koljuimplant	asenna V3 psyykkinen kallo-implantti	εγκαταστήστε το εμφύτευμα κρανίου χωρίς ψυχικό V3	telepítse a V3 pszichés koponyaimplantátumot	installer V3 psychicless hodeskalleimplantat	instale o implante de crânio sem psíquico V3	instalați implantul cranian fără psihic V3	nainštalujte implantát lebky bez psychiky V3	instalar el implante de cráneo sin psíquico V3	installera V3 psychicless skalleimplantat	V3 psişiksiz kafatası implantını takın
RecipeDef&KokuInstallV3PsychicLessSkullImplant.description	Installs V3 psychicless skull implant.	Installiert das V3-Psychicless-Schädelimplantat.	V3 サイキックレス頭蓋骨インプラントを取り付けます。	Instaluje bezpsychiczny implant czaszki V3.	Instala el implante de cráneo sin psíquico V3.	Installe l'implant crânien psychique V3.	安装 V3 无灵颅骨植入物。	Installa l'impianto del cranio psichico V3.	V3 무심령 두개골 임플란트를 설치합니다.	Instala o implante de crânio sem psíquico V3.	Устанавливает беспсихический черепной имплантат V3.	Встановлює безекстрасенсний імплантат черепа V3.	Instal·la un implant de crani sense psíquic V3.	安装 V3 无灵颅骨植入物。	Instaluje implantát lebky bez psychiky V3.	Installerer V3 psychicless kranieimplantat.	Installeert een V3-psychicless schedelimplantaat.	Paigaldab V3 psüühikata koljuimplantaadi.	Asenna V3-psyykkisen kallo-implantti.	Εγκαθιστά το εμφύτευμα κρανίου χωρίς ψυχικό V3.	V3 pszichés koponyaimplantátumot telepít.	Installerer V3 psykisk fritt hodeskalleimplantat.	Instala o implante de crânio sem psíquico V3.	Instalează implantul cranian fără psihic V3.	Inštaluje implantát lebky bez psychiky V3.	Instala el implante de cráneo sin psíquico V3.	Installerar V3 psychicless skalleimplantat.	V3 psişik olmayan kafatası implantını yükler.
RecipeDef&KokuInstallV1ResearcherSkullImplant.label	install V1 researcher skull implant	Installieren Sie das V1-Forscher-Schädelimplantat	V1 研究者の頭蓋骨インプラントを取り付ける	zainstaluj implant czaszki badacza V1	instalar el implante de cráneo del investigador V1	installer l'implant crânien de chercheur V1	安装 V1 研究员颅骨植入物	installare l'impianto cranico del ricercatore V1	V1 연구원 두개골 임플란트 설치	instalar implante de crânio de pesquisador V1	установить имплант черепа исследователя V1	встановити імплантат черепа дослідника V1	instal·lar un implant de crani investigador V1	安装 V1 研究员颅骨植入物	nainstalujte výzkumný implantát lebky V1	installer V1 researcher kranieimplantat	installeer V1 onderzoeker schedelimplantaat	paigaldage V1 uurija koljuimplantaat	asenna V1-tutkijan kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου ερευνητή V1	telepítse a V1 kutató koponya implantátumot	installer V1 forskerhodeskalleimplantat	instalar implante de crânio de pesquisador V1	instalați implantul cranian V1 Researcher	nainštalujte výskumný implantát lebky V1	instalar el implante de cráneo del investigador V1	installera V1 forskarskalleimplantat	V1 araştırmacı kafatası implantını yükleyin
RecipeDef&KokuInstallV1ResearcherSkullImplant.description	Installs V1 researcher skull implant.	Installiert das V1-Forscher-Schädelimplantat.	V1 研究者の頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki badacza V1.	Instala el implante de cráneo del investigador V1.	Installe l'implant crânien de chercheur V1.	安装 V1 研究员颅骨植入物。	Installa l'impianto cranico del ricercatore V1.	V1 연구원 두개골 임플란트를 설치합니다.	Instala o implante de crânio do pesquisador V1.	Устанавливает имплант черепа исследователя V1.	Встановлює імплантат черепа дослідника V1.	Instal·la un implant de crani investigador V1.	安装 V1 研究员颅骨植入物。	Instaluje výzkumný implantát lebky V1.	Installerer V1 researcher kranieimplantat.	Installeert V1-onderzoekerschedelimplantaat.	Paigaldab V1 uurija koljuimplantaadi.	Asenna V1-tutkijan kalloimplantti.	Εγκαθιστά το εμφύτευμα κρανίου ερευνητή V1.	Telepíti a V1 kutató koponyaimplantátumát.	Installerer V1 forskerhodeskalleimplantat.	Instala o implante de crânio do pesquisador V1.	Instalează implantul cranian V1 Researcher.	Inštaluje implantát lebky výskumníka V1.	Instala el implante de cráneo del investigador V1.	Installerar V1 forskarskalleimplantat.	V1 araştırmacı kafatası implantını yükler.
RecipeDef&KokuInstallV2ResearcherSkullImplant.label	install V2 researcher skull implant	Installieren Sie das V2-Forscher-Schädelimplantat	V2 研究者の頭蓋骨インプラントを取り付けます	zainstaluj implant czaszki badacza V2	instalar el implante de cráneo V2 Researcher	installer l'implant crânien de chercheur V2	安装 V2 研究员颅骨植入物	installare l'impianto cranico del ricercatore V2	V2 연구원 두개골 임플란트 설치	instalar implante de crânio de pesquisador V2	установить имплант черепа исследователя V2	встановити імплантат черепа дослідника V2	instal·lar un implant de crani investigador V2	安装 V2 研究员颅骨植入物	nainstalujte výzkumný implantát lebky V2	installer V2 researcher kranieimplantat	installeer V2-onderzoekerschedelimplantaat	paigalda V2-uurija koljuimplant	asenna V2-tutkijan kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου ερευνητή V2	telepítse a V2 kutató koponya implantátumot	installer V2 forskerhodeskalleimplantat	instalar implante de crânio de pesquisador V2	instalați implantul cranian V2 Researcher	nainštalujte výskumný lebkový implantát V2	instalar el implante de cráneo V2 Researcher	installera V2 forskarskalleimplantat	V2 araştırmacı kafatası implantını yükleyin
RecipeDef&KokuInstallV2ResearcherSkullImplant.description	Installs V2 researcher skull implant.	Installiert das V2-Forscher-Schädelimplantat.	V2 研究者の頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki badacza V2.	Instala el implante de cráneo del investigador V2.	Installe l'implant crânien de chercheur V2.	安装 V2 研究员颅骨植入物。	Installa l'impianto cranico del ricercatore V2.	V2 연구원 두개골 임플란트를 설치합니다.	Instala o implante de crânio do pesquisador V2.	Устанавливает имплант черепа исследователя V2.	Встановлює імплантат черепа дослідника V2.	Instal·la un implant de crani investigador V2.	安装 V2 研究员颅骨植入物。	Instaluje výzkumný implantát lebky V2.	Installerer V2 researcher kranieimplantat.	Installeert V2-onderzoekerschedelimplantaat.	Paigaldab V2-uurija koljuimplantaadi.	Asenna V2-tutkijan kalloimplantti.	Εγκαθιστά το εμφύτευμα κρανίου ερευνητή V2.	V2 kutató koponyaimplantátumot telepít.	Installerer V2 forskerhodeskalleimplantat.	Instala o implante de crânio do pesquisador V2.	Instalează implantul cranian V2 Researcher.	Inštaluje implantát lebky výskumníka V2.	Instala el implante de cráneo del investigador V2.	Installerar V2 forskarskalleimplantat.	V2 araştırmacı kafatası implantını yükler.
RecipeDef&KokuInstallV3ResearcherSkullImplant.label	install V3 researcher skull implant	Installieren Sie das V3-Forscher-Schädelimplantat	V3 研究者の頭蓋骨インプラントを取り付ける	zainstaluj implant czaszki badacza V3	instalar el implante de cráneo V3 Researcher	installer l'implant crânien de chercheur V3	安装 V3 研究员颅骨植入物	installare l'impianto cranico del ricercatore V3	V3 연구원 두개골 임플란트 설치	instalar implante de crânio de pesquisador V3	установить имплант черепа исследователя V3	встановити імплантат черепа дослідника V3	instal·lar implant de crani investigador V3	安装 V3 研究员颅骨植入物	nainstalujte výzkumný implantát lebky V3	installer V3 researcher kranieimplantat	installeer V3-onderzoekerschedelimplantaat	paigalda V3-uurija koljuimplant	asenna V3-tutkijan kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου ερευνητή V3	telepítse a V3 kutató koponya implantátumot	installer V3 forskerhodeskalleimplantat	instalar implante de crânio de pesquisador V3	instalați implantul cranian V3 Researcher	nainštalujte výskumný implantát lebky V3	instalar el implante de cráneo V3 Researcher	installera V3 forskarskalleimplantat	V3 araştırmacı kafatası implantını yükleyin
RecipeDef&KokuInstallV3ResearcherSkullImplant.description	Installs V3 researcher skull implant.	Installiert ein V3-Forscher-Schädelimplantat.	V3 研究者の頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki badacza V3.	Instala el implante de cráneo del investigador V3.	Installe l'implant crânien de chercheur V3.	安装 V3 研究员颅骨植入物。	Installa l'impianto cranico del ricercatore V3.	V3 연구원 두개골 임플란트를 설치합니다.	Instala o implante de crânio do pesquisador V3.	Устанавливает имплант черепа исследователя V3.	Встановлює імплантат черепа дослідника V3.	Instal·la un implant de crani investigador V3.	安装 V3 研究员颅骨植入物。	Instaluje výzkumný implantát lebky V3.	Installerer V3 researcher kranieimplantat.	Installeert V3-onderzoekerschedelimplantaat.	Paigaldab V3 uurija koljuimplantaadi.	Asenna V3-tutkijan kalloimplantti.	Εγκαθιστά το εμφύτευμα κρανίου ερευνητή V3.	V3 kutató koponyaimplantátumot telepít.	Installerer V3 forskerhodeskalleimplantat.	Instala o implante de crânio do pesquisador V3.	Instalează implantul cranian V3 Researcher.	Inštaluje implantát lebky výskumníka V3.	Instala el implante de cráneo del investigador V3.	Installerar V3 forskarskalleimplantat.	V3 araştırmacı kafatası implantını yükler.
RecipeDef&KokuInstallV1MinerSkullImplant.label	install V1 miner skull implant	Installieren Sie das V1-Miner-Schädelimplantat	V1 マイナー頭蓋骨インプラントを取り付けます	zainstaluj implant czaszki górnika V1	instalar el implante de cráneo minero V1	installer l'implant de crâne de mineur V1	安装 V1 矿工头骨植入物	installare l'impianto del cranio del minatore V1	V1 광부 두개골 임플란트 설치	instalar implante de crânio de mineiro V1	установить имплант черепа шахтера V1	встановити імплантат черепа майнера V1	instal·lar un implant de crani miner V1	安装 V1 矿工头骨植入物	nainstalujte implantát horní lebky V1	installer V1 minearbejder kranieimplantat	installeer het V1 mijnwerkersschedelimplantaat	paigaldage V1 miner koljuimplantaat	asenna V1 Miner kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου ανθρακωρύχου V1	telepítse a V1 miner koponya implantátumot	installer V1 miner hodeskalleimplantat	instalar implante de crânio de mineiro V1	instalați implantul cranian miner V1	nainštalujte implantát lebky baníka V1	instalar el implante de cráneo minero V1	installera V1 miner skalleimplantat	V1 madenci kafatası implantını takın
RecipeDef&KokuInstallV1MinerSkullImplant.description	Installs V1 miner skull implant.	Installiert das V1-Minenarbeiter-Schädelimplantat.	V1 鉱夫の頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki górnika V1.	Instala el implante de cráneo minero V1.	Installe l'implant crânien de mineur V1.	安装 V1 矿工头骨植入物。	Installa l'impianto del cranio del minatore V1.	V1 광부 두개골 임플란트를 설치합니다.	Instala o implante de crânio de mineiro V1.	Устанавливает имплант черепа шахтера V1.	Встановлює імплантат черепа майнера V1.	Instal·la un implant de crani miner V1.	安装 V1 矿工头骨植入物。	Instaluje implantát lebky horníka V1.	Installerer V1 minearbejder kranieimplantat.	Installeert V1 mijnwerkersschedelimplantaat.	Paigaldab V1 kaevandaja koljuimplantaadi.	Asenna V1 Miner kallo-implantti.	Εγκαθιστά το εμφύτευμα κρανίου ανθρακωρύχου V1.	V1 miner koponyaimplantátumot telepít.	Installerer V1 miner hodeskalleimplantat.	Instala o implante de crânio de mineiro V1.	Instalează implantul cranian miner V1.	Inštaluje implantát lebky baníka V1.	Instala el implante de cráneo minero V1.	Installerar V1 miner skalleimplantat.	V1 madenci kafatası implantını kurar.
RecipeDef&KokuInstallV2MinerSkullImplant.label	install V2 miner skull implant	Installieren Sie das V2-Miner-Schädelimplantat	V2 マイナー頭蓋骨インプラントを取り付けます	zainstaluj implant czaszki górnika V2	instalar el implante de cráneo minero V2	installer l'implant de crâne de mineur V2	安装 V2 矿工头骨植入物	installare l'impianto del cranio del minatore V2	V2 광부 두개골 임플란트 설치	instalar implante de crânio de mineiro V2	установить имплант черепа шахтера V2	встановити імплантат черепа майнера V2	instal·lar un implant de crani miner V2	安装 V2 矿工头骨植入物	nainstalujte implantát lebky horníka V2	installer V2 minearbejder kranieimplantat	installeer het V2 mijnwerkersschedelimplantaat	paigalda V2 miner koljuimplant	asenna V2 Miner kalloimplantti	εγκαταστήστε το εμφύτευμα κρανίου ανθρακωρύχου V2	telepítse a V2 miner koponya implantátumot	installer V2 miner hodeskalleimplantat	instalar implante de crânio de mineiro V2	instalați implantul cranian miner V2	nainštalujte implantát lebky baníka V2	instalar el implante de cráneo minero V2	installera V2 miner skalleimplantat	V2 madenci kafatası implantını takın
RecipeDef&KokuInstallV2MinerSkullImplant.description	Installs V2 miner skull implant.	Installiert das V2-Miner-Schädelimplantat.	V2 マイナーの頭蓋骨インプラントを取り付けます。	Instaluje implant czaszki górnika V2.	Instala el implante de cráneo minero V2.	Installe l'implant crânien de mineur V2.	安装 V2 矿工头骨植入物。	Installa l'impianto del cranio del minatore V2.	V2 광부 두개골 임플란트를 설치합니다.	Instala o implante de crânio de mineiro V2.	Устанавливает имплант черепа шахтера V2.	Встановлює імплантат черепа майнера V2.	Instal·la un implant de crani miner V2.	安装 V2 矿工头骨植入物。	Instaluje implantát lebky horníka V2.	Installerer V2 minearbejder kranieimplantat.	Installeert V2 mijnwerkersschedelimplantaat.	Paigaldab V2 kaevandaja koljuimplantaadi.	Asenna V2 Miner -kallo-implantti.	Εγκαθιστά το εμφύτευμα κρανίου ανθρακωρύχου V2.	V2 miner koponya implantátumot telepít.	Installerer V2 miner hodeskalleimplantat.	Instala o implante de crânio de mineiro V2.	Instalează implantul cranian miner V2.	Inštaluje implantát lebky baníka V2.	Instala el implante de cráneo minero V2.	Installerar V2 miner skalleimplantat.	V2 madenci kafatası implantını kurar.
